"name","year","wind"
"Humberto",2013,80
"Isaias",2020,80
"Ivan",1998,80
"Joyce",2000,80
"Klaus",1984,80
"Leslie",2018,80
"Lisa",2022,80
"Nadine",2012,80
"Nate",2005,80
"Nate",2017,80
"Olga",2001,80
"Philippe",2011,80
"Rafael",2012,80
"Alberto",1982,75
"Alex",2016,75
"Blanche",1975,75
"Bonnie",1986,75
"Cesar",1996,75
"Chris",2012,75
"Claudette",1985,75
"Cristobal",2014,75
"Danielle",2022,75
"Debby",2000,75
"Dorothy",1977,75
"Earl",2016,75
"Elsa",2021,75
"Epsilon",2005,75
"Felix",1989,75
"Frances",1986,75
"Frances",1992,75
"Franklin",2017,75
"Fred",2015,75
"Gordon",1994,75
"Hanna",2008,75
"Henri",1979,75
"Ingrid",2013,75
"Isaac",2006,75
"Jerry",1989,75
"Josephine",1990,75
"Juan",1985,75
"Julia",2022,75
"Karl",1980,75
"Kate",2015,75
"Katrina",1981,75
"Kyle",2002,75
"Kyle",2008,75
"Lisa",2010,75
"Martin",2022,75
"Nana",1990,75
"Nicole",1998,75
"Ophelia",2005,75
"Otto",2010,75
"Tanya",1995,75
"Barry",1983,70
"Bertha",1990,70
"Bertha",2014,70
"Beryl",2018,70
"Chantal",1989,70
"Charley",1980,70
"Charley",1986,70
"Chris",1994,70
"Danny",1997,70
"Dennis",1981,70
"Dolly",1996,70
"Evelyn",1977,70
"Fay",2014,70
"Florence",1988,70
"Florence",2000,70
"Gabrielle",2001,70
"Georges",1980,70
"Gordon",2000,70
"Hermine",2016,70
"Isaac",2012,70
"Karen",2001,70
"Kendra",1978,70
"Klaus",1990,70
"Leslie",2012,70
"Lili",1984,70
"Lorenzo",2007,70
"Maria",2011,70
"Noel",2007,70
"Pablo",2019,70
"Philippe",2005,70
"Stan",2005,70
"AL121991",1991,65
"Allison",1995,65
"Arlene",1987,65
"Babe",1977,65
"Barry",2019,65
"Bill",1997,65
"Bob",1979,65
"Bob",1985,65
"Chantal",1983,65
"Cindy",2005,65
"Clara",1977,65
"Danny",2003,65
"Debby",1988,65
"Earl",1980,65
"Erika",2003,65
"Ernesto",2006,65
"Floyd",1987,65
"Floyd",1993,65
"Gamma",2020,65
"Gaston",2004,65
"Harvey",1993,65
"Henri",2021,65
"Holly",1976,65
"Hortense",1984,65
"Isaac",2018,65
"Karen",2007,65
"Lili",1990,65
"Lisa",1998,65
"Lisa",2004,65
"Marco",1996,65
"Marco",2020,65
"Nana",2020,65
"Nate",2011,65
"Nicholas",2021,65
"Nicole",2022,65
"Noel",1995,65
"Noel",2001,65
"Shary",2010,65
"Vince",2005,65
